Frente,Verso
O que é contato físico na perspectiva da interface?,É a forma como o usuário percebe e manipula a interface.
O que é contato conceitual na perspectiva da interface?,"É a forma como o usuário interpreta, processa e raciocina sobre a interface."
Quais são os sete aspectos da colmeia da usabilidade?,"Useful, Usable, Desirable, Valuable, Findable, Accessible, Credible."
O que significa 'useful' na usabilidade?,O aplicativo resolve alguma necessidade dos usuários.
O que significa 'findable' na usabilidade?,O aplicativo e seu suporte são fáceis de encontrar.
O que significa 'usable' na usabilidade?,O aplicativo é fácil de usar.
O que significa 'accessible' na usabilidade?,O aplicativo pode ser usado por pessoas com deficiências.
O que significa 'credible' na usabilidade?,"O aplicativo é confiável, seguro e não trava."
O que significa 'valuable' na usabilidade?,O aplicativo agrega valor ao usuário.
O que significa 'desirable' na usabilidade?,O aplicativo é desejado pelos usuários e recomendado para outros.
O que é UX (User Experience)?,É tudo o que afeta a interação de um usuário com um produto ou serviço.
O que uma boa UX proporciona?,Reduz o atrito entre a tarefa que o usuário deseja completar e a interface utilizada.
Como a Norma 9241-11 define usabilidade?,"É a medida na qual um produto pode ser usado para atingir objetivos com eficácia, eficiência e satisfação."
O que é eficácia na usabilidade?,Acurácia e completude com que usuários alcançam objetivos.
O que é eficiência na usabilidade?,Recursos gastos em relação à acurácia e abrangência ao atingir objetivos.
O que é satisfação na usabilidade?,Ausência de desconforto e presença de atitudes positivas no uso do produto.
O que é contexto de uso segundo a norma 9241-11?,"Usuários, tarefas, equipamentos e ambiente no qual um produto é usado."
O que é hedonomia?,Estudo do prazer na interação homem-tecnologia.
Quais são os níveis da pirâmide de necessidades segundo Hancock (2005)?,"Fisiológicas, Segurança, Sociais, Autoestima, Autorrealização."
Quais níveis da pirâmide de Hancock estão relacionados à ergonomia?,Fisiológicas e Segurança.
Quais níveis da pirâmide de Hancock estão relacionados à hedonomia?,"Sociais, Autoestima e Autorrealização."
Quais são os três níveis da hierarquia das necessidades do consumidor segundo Jordan?,"Funcionalidade, Usabilidade, Prazer."
O que é design responsivo?,É o design que se adapta à largura da tela ajustando elementos ao espaço disponível.
